player_name,team,gsis_id
Aaron Rodgers,PIT,00-0023459
Nick Folk,ATL,00-0025565
J.J. Jansen,CAR,00-0026027
Joe Flacco,CIN,00-0026158
Calais Campbell,BAL,00-0026190
Josh Johnson,CIN,00-0026300
Matthew Stafford,LA,00-0026498
Jon Weeks,SF,00-0027224
Morgan Cox,TEN,00-0027557
Trent Williams,SF,00-0027857
Von Miller,DAL,00-0027940
Cameron Jordan,NO,00-0027962
Cameron Heyward,PIT,00-0027969
Andy Dalton,PHI,00-0027973
Tyrod Taylor,GB,00-0028118
Nick Bellore,WAS,00-0028292
Josh Harris,LAC,00-0028845
Case Keenum,CHI,00-0028986
Kirk Cousins,LV,00-0029604
Harrison Smith,MIN,00-0029606
Demario Davis,NYJ,00-0029607
Greg Van Roten,NE,00-0029685
Bryan Anger,DAL,00-0029692
Andrew DePaola,MIN,00-0029714
Kyle Juszczyk,SF,00-0029892
Adam Thielen,MIN,00-0030035
John Jenkins,BAL,00-0030070
Sam Martin,CAR,00-0030092
David Quessenberry,LA,00-0030097
Tress Way,WAS,00-0030140
Keenan Allen,IND,00-0030279
Tony Jefferson,LAC,00-0030294
Travis Kelce,KC,00-0030506
Lane Johnson,PHI,00-0030561
Geno Smith,NYJ,00-0030565
James Winchester,KC,00-0030615
Casey Kreiter,ARI,00-0030957
Khalil Mack,LAC,00-0031040
Chris Boswell,PIT,00-0031136
Tyler Ott,WAS,00-0031156
Cairo Santos,CHI,00-0031203
Odell Beckham Jr.,NYG,00-0031235
Teddy Bridgewater,DET,00-0031237
Shelby Harris,NYG,00-0031270
Jake Matthews,ATL,00-0031279
Morgan Moses,NE,00-0031330
Kyle Van Noy,MIN,00-0031360
Jadeveon Clowney,HOU,00-0031364
Davante Adams,LA,00-0031381
Aaron Donald,LA,00-0031388
Mike Evans,SF,00-0031408
DeMarcus Lawrence,SEA,00-0031411
Chris Manhertz,NYG,00-0031484
Jason Myers,SEA,00-0031492
Jameis Winston,NYG,00-0031503
Shaq Thompson,BUF,00-0031550
Danielle Hunter,HOU,00-0031565
Za'Darius Smith,ATL,00-0031576
Grady Jarrett,CHI,00-0031583
Stefon Diggs,WAS,00-0031588
Michael Burton,CLE,00-0031595
Darren Waller,CAR,00-0031610
Bobby Hart,SEA,00-0031622
Alex Singleton,DEN,00-0031898
Kendall Lamm,BAL,00-0031921
Leonard Williams,SEA,00-0031933
Rakeem Nunez-Roches,TB,00-0031957
Dante Fowler Jr.,SEA,00-0032052
Bradley Pinion,MIA,00-0032065
Trent Brown,HOU,00-0032071
Denzel Perryman,LAC,00-0032103
Ameer Abdullah,JAX,00-0032104
Bud Dupree,LAC,00-0032146
Arik Armstead,JAX,00-0032164
D.J. Humphries,WAS,00-0032222
Joe Cardona,LA,00-0032228
Laken Tomlinson,DAL,00-0032234
Mario Edwards,HOU,00-0032265
Marcus Mariota,WAS,00-0032268
DeForest Buckner,IND,00-0032378
Laremy Tunsil,WAS,00-0032380
Jarran Reed,SEA,00-0032387
Joe Thuney,CHI,00-0032391
Austin Hooper,ATL,00-0032392
Nick Vannett,BAL,00-0032394
Chris Moore,BAL,00-0032398
Miles Killebrew,TB,00-0032399
DJ Reader,NYG,00-0032424
Ted Karras,CIN,00-0032445
Kalif Raymond,CHI,00-0032464
Reid Ferguson,BUF,00-0032497
Wil Lutz,DEN,00-0032569
Jonathan Jones,PHI,00-0032580
Roy Robertson-Harris,NYG,00-0032667
Jake Brendel,SF,00-0032701
Ka'imi Fairbairn,HOU,00-0032726
Luke Rhodes,IND,00-0032753
Sheldon Rankins,HOU,00-0032759
Chris Jones,KC,00-0032762
Derrick Henry,BAL,00-0032764
Demarcus Robinson,SF,00-0032775
A'Shawn Robinson,TB,00-0032889
C.J. Ham,MIN,00-0032918
Riley Dixon,TB,00-0032943
Carson Wentz,MIN,00-0032950
Laquon Treadwell,IND,00-0032951
Isaac Seumalo,ARI,00-0032954
Ronnie Stanley,BAL,00-0032965
Eric Murray,JAX,00-0033038
Jihad Ward,MIN,00-0033046
David Onyemata,NYJ,00-0033051
Jalen Ramsey,PIT,00-0033055
Zach Wood,NO,00-0033063
Andrew Billings,ARI,00-0033066
Emmanuel Ogbah,KC,00-0033073
Dak Prescott,DAL,00-0033077
Hunter Henry,NE,00-0033090
Jonathan Bullard,DAL,00-0033093
Jared Goff,DET,00-0033106
Javon Hargrave,GB,00-0033109
Tyler Higbee,LA,00-0033110
Jacoby Brissett,ARI,00-0033119
Kenny Clark,DAL,00-0033120
Maliek Collins,CLE,00-0033131
Kevin Byard,NE,00-0033132
Mo Alie-Cox,IND,00-0033217
Johnny Mundt,PHI,00-0033246
Thomas Hennessy,NYJ,00-0033260
Rigoberto Sanchez,IND,00-0033269
Christian McCaffrey,SF,00-0033280
Marlon Humphrey,BAL,00-0033281
Taylor Moton,CAR,00-0033284
George Kittle,SF,00-0033288
Jermaine Eluemunor,NYG,00-0033290
Aaron Jones,MIN,00-0033293
Chuck Clark,DET,00-0033294
D.J. Jones,DEN,00-0033297
Harrison Butker,KC,00-0033303
Kendrick Bourne,ARI,00-0033307
Nick Mullens,JAX,00-0033319
Eric Wilson,MIN,00-0033336
Josh Tupou,NYG,00-0033347
Tim Patrick,NYJ,00-0033375
Patrick Ricard,NYG,00-0033376
Adam Butler,LV,00-0033381
Pharaoh Brown,IND,00-0033439
Jonathan Allen,CIN,00-0033523
Samaje Perine,CIN,00-0033526
Deshaun Watson,CLE,00-0033537
Garett Bolles,DEN,00-0033538
Dalvin Tomlinson,LAC,00-0033546
Chidobe Awuzie,BAL,00-0033548
Rasul Douglas,WAS,00-0033551
James Conner,ARI,00-0033553
Mack Hollins,NE,00-0033555
Eric Saubert,SEA,00-0033576
Xavier Woods,CHI,00-0033579
David Moore,CAR,00-0033589
Cooper Rush,ATL,00-0033662
Elijah Wilkinson,ARI,00-0033676
Cameron Johnston,PIT,00-0033729
Storm Norton,ATL,00-0033752
Robert Tonyan,PIT,00-0033757
Ahkello Witherspoon,WAS,00-0033783
Jake Elliott,PHI,00-0033787
Corey Levin,ATL,00-0033793
Andrew Wylie,WAS,00-0033831
Dare Ogunbowale,LV,00-0033854
Jonnu Smith,GB,00-0033858
Davon Godchaux,NO,00-0033860
Myles Garrett,LA,00-0033868
Mitchell Trubisky,TEN,00-0033869
Solomon Thomas,TEN,00-0033870
Jamal Adams,MIN,00-0033872
Patrick Mahomes,KC,00-0033873
Derek Barnett,CLE,00-0033876
