feature,importance_mean,model
spread_line,0.20169678,spread
awayTeamBlowoutPct,0.11790388,spread
homeTeamWinPct,0.117332436,spread
awayTeamWinPct,0.11636821,spread
homeTeamBlowoutPct,0.11435982,spread
homeTeamSpreadCoveredPct,0.11286222,spread
homeTeamAvgPointDiff,0.11186456,spread
awayTeamSpreadCoveredPct,0.10761207,spread
awayTeamGamesPlayed,0.18346073,moneyline
spread_line,0.14347039,moneyline
homeTeamSpreadCoveredPct,0.12688266,moneyline
homeTeamWinPct,0.11765965,moneyline
homeTeamOverHitPct,0.11394473,moneyline
awayTeamWinPct,0.1117524,moneyline
homeTeamAvgTotal,0.11013773,moneyline
homeTeamBlowoutPct,0.09269169,moneyline
total_line,0.23997642,totals
homeTeamOverHitPct,0.13494423,totals
awayTeamAvgTotal,0.13379589,totals
homeTeamAvgPointSpread,0.13022386,totals
awayTeamBlowoutPct,0.12526484,totals
home_spread_odds,0.12252527,totals
over_odds,0.11326951,totals
