player_id,player_name,game_id,season,week,team,opponent,passing_yards,pass_tds,completions,attempts,interceptions,game_date,completion_pct,passing_yards_L3,passing_yards_L5,passing_yards_L10,passing_yards_std_L5,pass_tds_L3,pass_tds_L5,pass_tds_L10,pass_tds_std_L5,completions_L3,completions_L5,completions_L10,completions_std_L5,attempts_L3,attempts_L5,attempts_L10,attempts_std_L5,interceptions_L3,interceptions_L5,interceptions_L10,interceptions_std_L5
00-0019596,T.Brady,2020_01_TB_NO,2020,1,TB,NO,239.0,2.0,23.0,37.0,2.0,2020-09-13,62.2,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0019596,T.Brady,2020_02_CAR_TB,2020,2,TB,CAR,217.0,1.0,23.0,35.0,1.0,2020-09-20,65.7,239.0,239.0,239.0,0.0,2.0,2.0,2.0,0.0,23.0,23.0,23.0,0.0,37.0,37.0,37.0,0.0,2.0,2.0,2.0,0.0
00-0019596,T.Brady,2020_03_TB_DEN,2020,3,TB,DEN,297.0,3.0,25.0,38.0,0.0,2020-09-27,65.8,228.0,231.66666666666669,235.0,15.556349186104045,1.5,1.6666666666666667,1.8181818181818181,0.7071067811865476,23.0,23.0,23.0,0.0,36.0,36.333333333333336,36.63636363636363,1.4142135623730951,1.5,1.6666666666666667,1.8181818181818181,0.7071067811865476
00-0019596,T.Brady,2020_04_LAC_TB,2020,4,TB,LAC,369.0,5.0,30.0,46.0,1.0,2020-10-04,65.2,262.5,253.44444444444449,246.27272727272725,39.865157333576,2.25,2.1111111111111116,2.0330578512396693,0.9198662110077999,24.0,23.666666666666668,23.363636363636363,1.1766968108291043,37.0,36.88888888888889,36.88429752066115,1.3728129459672873,0.75,1.1111111111111114,1.487603305785124,1.0919284281983377
00-0019596,T.Brady,2020_05_TB_CHI,2020,5,TB,CHI,253.0,1.0,25.0,41.0,0.0,2020-10-08,61.0,315.75,291.96296296296305,268.5867768595041,70.69791714556945,3.625,3.0740740740740744,2.572501878287002,1.7428694687102662,27.0,25.77777777777778,24.570247933884296,3.6091987738934077,41.5,39.92592592592593,38.541697971450034,5.136483100976437,0.875,1.0740740740740744,1.3989481592787376,0.8384554363810831
00-0019596,T.Brady,2020_06_GB_TB,2020,6,TB,GB,166.0,2.0,17.0,27.0,0.0,2020-10-18,63.0,284.375,278.9753086419754,265.75281743050334,60.01527693432372,2.3125,2.382716049382717,2.2865924458711833,1.7792530666040245,26.0,25.51851851851852,24.64838467317806,2.9014339204275275,41.25,40.283950617283956,38.988661976640934,4.126710348804985,0.4375,0.7160493827160497,1.1445939485007852,0.8822417556792004
00-0019596,T.Brady,2020_07_TB_LV,2020,7,TB,LV,369.0,4.0,33.0,45.0,0.0,2020-10-25,73.3,225.1875,241.31687242798364,247.61594153404818,77.17651701206066,2.15625,2.2551440329218115,2.234484728440059,1.4509798498855195,21.5,22.679012345679013,23.257769278054774,5.099129357724455,34.125,35.85596707818931,36.80890525361531,7.809311822545523,0.21875,0.4773662551440332,0.9364859578642788,0.8077073793677076
00-0019596,T.Brady,2020_08_TB_NYG,2020,8,TB,NYG,279.0,2.0,28.0,41.0,0.0,2020-11-02,68.3,297.09375,283.8779149519891,269.68577034603936,92.17395344423652,3.078125,2.836762688614541,2.5554875050873207,1.4973990351043927,27.25,26.11934156378601,25.029083954772087,6.854580606730237,39.5625,38.903978052126206,38.29819520750343,7.979253741251893,0.109375,0.3182441700960222,0.7662157837071372,0.7032041048276724
00-0019596,T.Brady,2020_09_NO_TB,2020,9,TB,NO,209.0,0.0,22.0,38.0,3.0,2020-11-08,57.9,288.046875,282.2519433013261,271.37926664675945,75.1420081331042,2.5390625,2.557841792409694,2.454489776889626,1.2975132877899795,27.625,26.746227709190673,25.569250508449887,5.67228133530538,40.28125,39.602652034750804,38.78943244250281,6.59453161107061,0.0546875,0.21216278006401482,0.6269038230331122,0.5970573139589519
00-0019596,T.Brady,2020_10_TB_CAR,2020,10,TB,CAR,341.0,3.0,28.0,39.0,0.0,2020-11-15,71.8,248.5234375,257.83462886755075,260.0375818018941,72.45568050810434,1.26953125,1.705227861606463,2.008218908364239,1.714750324470112,24.8125,25.164151806127116,24.920295870549907,5.260790765179528,39.140625,39.06843468983387,38.64589927113866,5.445291479619656,1.52734375,1.1414418533760098,1.0583758552089098,1.548996276759167
