player_id,player_name,game_id,season,week,team,opponent,receiving_yards,receptions,rec_tds,targets,target_share,game_date,ypr,catch_rate,receiving_yards_L3,receiving_yards_L5,receiving_yards_L10,receiving_yards_std_L5,rec_tds_L3,rec_tds_L5,rec_tds_L10,rec_tds_std_L5,receptions_L3,receptions_L5,receptions_L10,receptions_std_L5,targets_L3,targets_L5,targets_L10,targets_std_L5,target_share_L3,target_share_L5,target_share_L10,target_share_std_L5
00-0019596,T.Brady,2022_10_SEA_TB,2022,10,TB,SEA,0.0,0.0,0.0,1.0,0.034482758620689655,2022-11-13,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0022127,J.Witten,2020_01_LV_CAR,2020,1,LV,CAR,2.0,1.0,0.0,1.0,0.03571428571428571,2020-09-13,2.0,100.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0022127,J.Witten,2020_02_NO_LV,2020,2,LV,NO,3.0,1.0,0.0,1.0,0.029411764705882353,2020-09-21,3.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0
00-0022127,J.Witten,2020_04_BUF_LV,2020,4,LV,BUF,18.0,2.0,1.0,2.0,0.023255813953488372,2020-10-04,9.0,100.0,2.5,2.3333333333333335,2.1818181818181817,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03256302521008403,0.033613445378151266,0.03456837280366692,0.004456555343612693
00-0022127,J.Witten,2020_05_LV_KC,2020,5,LV,KC,6.0,2.0,0.0,2.0,0.03225806451612903,2020-10-11,3.0,100.0,10.25,7.555555555555555,5.0578512396694215,9.229967913937063,0.5,0.3333333333333333,0.18181818181818182,0.5883484054145521,1.5,1.3333333333333335,1.1818181818181817,0.5883484054145521,1.5,1.3333333333333335,1.1818181818181817,0.5883484054145521,0.0279094195817862,0.030160901569930305,0.03251154392181627,0.0068045668627504325
00-0022127,J.Witten,2020_07_TB_LV,2020,7,LV,TB,6.0,1.0,0.0,1.0,0.027777777777777776,2020-10-25,6.0,100.0,8.125,7.037037037037037,5.229151014274981,7.12034044974682,0.25,0.22222222222222224,0.1487603305785124,0.4866642633922877,1.75,1.5555555555555558,1.330578512396694,0.5816750507471109,1.75,1.5555555555555558,1.330578512396694,0.5816750507471109,0.030083742048957616,0.03085995588532988,0.032465456757145864,0.005337967917486862
00-0022127,J.Witten,2020_08_LV_CLE,2020,8,LV,CLE,21.0,2.0,0.0,2.0,0.045454545454545456,2020-11-01,10.5,100.0,7.0625,6.691358024691358,5.369305375315893,5.691653947928133,0.125,0.14814814814814817,0.1217129977460556,0.405160995403888,1.375,1.3703703703703707,1.2704733283245677,0.5507546549314205,1.375,1.3703703703703707,1.2704733283245677,0.5507546549314205,0.028930759913367694,0.029832563182812515,0.031613151488169844,0.004558268316343815
00-0022127,J.Witten,2020_09_LV_LAC,2020,9,LV,LAC,0.0,1.0,0.0,1.0,0.043478260869565216,2020-11-08,0.0,100.0,14.03125,11.460905349794238,8.211249852531186,8.88793022859565,0.0625,0.09876543209876545,0.09958336179222729,0.3364922841654571,1.6875,1.5802469135802473,1.4031145413564645,0.556617779093919,1.6875,1.5802469135802473,1.4031145413564645,0.556617779093919,0.03719265268395658,0.035039890606723495,0.03412976857296541,0.009084783745743497
00-0022127,J.Witten,2020_11_KC_LV,2020,11,LV,KC,1.0,1.0,1.0,1.0,0.034482758620689655,2020-11-22,1.0,100.0,7.015625,7.640603566529493,6.718295333889151,9.42986688757052,0.03125,0.06584362139917697,0.08147729601182233,0.2783567549108244,1.34375,1.3868312757201648,1.3298209883825618,0.546620488469213,1.34375,1.3868312757201648,1.3298209883825618,0.546620488469213,0.0403354567767609,0.03785268069433741,0.03582949444507447,0.008626765753721318
00-0022127,J.Witten,2020_13_LV_NYJ,2020,13,LV,NYJ,0.0,0.0,0.0,1.0,0.021739130434782608,2020-12-06,,0.0,4.0078125,5.427069044352995,5.678605273182033,8.445017877858518,0.515625,0.3772290809327846,0.24848142400967282,0.5428337775552408,1.171875,1.2578875171467767,1.2698535359493688,0.48994817851121353,1.171875,1.2578875171467767,1.2698535359493688,0.48994817851121353,0.037409107698725276,0.036729373336454825,0.03558463338609541,0.007250260628348999
00-0022127,J.Witten,2020_16_MIA_LV,2020,16,LV,MIA,12.0,2.0,0.0,5.0,0.03333333333333333,2020-12-26,6.0,40.0,2.00390625,3.618046029568664,4.646131587148935,7.459813483539952,0.2578125,0.2514860539551898,0.2033029832806414,0.48544804141180886,0.5859375,0.8385916780978513,1.0389710748676653,0.7745453280466552,1.0859375,1.1719250114311845,1.2207892566858471,0.42217276840780515,0.029574119066753942,0.03173262570256409,0.03306726921312944,0.009873767493301175
00-0022921,L.Fitzgerald,2020_01_ARI_SF,2020,1,ARI,SF,34.0,4.0,0.0,5.0,0.02702702702702703,2020-09-13,8.5,80.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0022921,L.Fitzgerald,2020_02_WAS_ARI,2020,2,ARI,WAS,50.0,7.0,0.0,7.0,0.029411764705882353,2020-09-20,7.1,100.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0
00-0022921,L.Fitzgerald,2020_03_DET_ARI,2020,3,ARI,DET,0.0,1.0,0.0,3.0,0.030303030303030304,2020-09-27,0.0,33.3,42.0,39.33333333333333,36.90909090909091,11.313708498984761,0.0,0.0,0.0,0.0,5.5,5.0,4.545454545454545,2.1213203435596424,6.0,5.666666666666667,5.363636363636363,1.4142135623730951,0.02821939586645469,0.027821939586645472,0.027460615695909813,0.0016862641840696667
00-0022921,L.Fitzgerald,2020_04_ARI_CAR,2020,4,ARI,CAR,4.0,2.0,0.0,3.0,0.03225806451612903,2020-10-04,2.0,66.7,21.0,26.22222222222222,30.19834710743801,24.38473671408786,0.0,0.0,0.0,0.0,3.25,3.6666666666666674,3.9008264462809907,2.7595986330233995,4.5,4.777777777777779,4.933884297520661,1.8397324220156,0.0292612130847425,0.028648969825440417,0.0279774183517499,0.0018555959344236873
00-0022921,L.Fitzgerald,2020_05_ARI_NYJ,2020,5,ARI,NYJ,35.0,4.0,0.0,7.0,0.027777777777777773,2020-10-11,8.8,57.1,12.5,18.814814814814817,25.435011269722008,22.340495615829614,0.0,0.0,0.0,0.0,2.625,3.1111111111111116,3.555221637866265,2.304784171064174,3.75,4.185185185185186,4.582268970698722,1.7167901505579048,0.030759638800435765,0.02985200138900329,0.028755717654364285,0.002446583917204303
00-0022921,L.Fitzgerald,2020_06_ARI_DAL,2020,6,ARI,DAL,22.0,3.0,0.0,4.0,0.045454545454545456,2020-10-19,7.3,75.0,23.75,24.20987654320988,27.17410012977255,19.788022154251824,0.0,0.0,0.0,0.0,3.3125,3.4074074074074083,3.63609043098149,1.8947316248519517,5.375,5.123456790123457,5.021856430571682,2.038487722962616,0.02926870828910677,0.029160593518594784,0.028577910404075826,0.002243127287238027
00-0022921,L.Fitzgerald,2020_07_SEA_ARI,2020,7,ARI,SEA,62.0,8.0,0.0,8.0,0.022727272727272728,2020-10-25,7.8,100.0,22.875,23.473251028806587,26.233354651632087,16.02079513561206,0.0,0.0,0.0,0.0,3.15625,3.2716049382716057,3.5204376253484915,1.5451415147915883,4.6875,4.748971193415638,4.836064352285922,1.7509891338913561,0.03736162687182611,0.034591910830578346,0.03164638950416121,0.00885041858837671
00-0022921,L.Fitzgerald,2020_09_MIA_ARI,2020,9,ARI,MIA,54.0,4.0,0.0,5.0,0.038461538461538464,2020-11-08,13.5,80.0,42.4375,36.31550068587106,32.73638107860807,24.185950401733006,0.0,0.0,0.0,0.0,5.578125,4.847736625514404,4.334903511648766,2.799089869054251,6.34375,5.832647462277093,5.411325379143026,2.232223016698707,0.03004444979954942,0.03063703146280981,0.030024731908363304,0.009545644615262585
00-0022921,L.Fitzgerald,2020_10_BUF_ARI,2020,10,ARI,BUF,13.0,2.0,0.0,5.0,0.03125,2020-11-15,6.5,40.0,48.21875,42.210333790580705,36.602493609770235,21.805255349004124,0.0,0.0,0.0,0.0,4.7890625,4.565157750342936,4.274011964076263,2.324035378198751,5.671875,5.5550983081847285,5.336538946571567,1.8710566030491729,0.034252994130543946,0.03324520046238603,0.03155869673621333,0.008806250000677049
00-0022921,L.Fitzgerald,2020_11_ARI_SEA,2020,11,ARI,SEA,62.0,8.0,0.0,10.0,0.02564102564102564,2020-11-19,7.8,80.0,30.609375,32.473555860387144,32.31113113526656,23.53186756937324,0.0,0.0,0.0,0.0,3.39453125,3.710105166895291,3.8605552433351242,2.3290495188516167,5.3359375,5.370065538789819,5.275350047194918,1.5540839412942244,0.03275149706527197,0.03258013364159069,0.03150257005690182,0.007260093602646229
00-0022921,L.Fitzgerald,2020_14_ARI_NYG,2020,14,ARI,NYG,10.0,2.0,0.0,3.0,0.03125,2020-12-13,5.0,66.7,46.3046875,42.31570390692477,37.70910729249081,24.72219806483683,0.0,0.0,0.0,0.0,5.697265625,5.140070111263528,4.613181562728737,2.9544397728464378,7.66796875,6.91337702585988,6.1343773113412965,2.7508749213558144,0.029196261353148806,0.03026709764140234,0.030436834708560692,0.006963760507718063
00-0022921,L.Fitzgerald,2020_15_PHI_ARI,2020,15,ARI,PHI,35.0,3.0,1.0,4.0,0.02702702702702703,2020-12-20,11.7,75.0,28.15234375,31.543802604616513,32.671087784765206,26.40978501702435,0.0,0.0,0.0,0.0,3.8486328125,4.093380074175686,4.138057642232603,2.9251801269796966,5.333984375,5.608918017239921,5.564490527461061,3.049309952393197,0.0302231306765744,0.0305947317609349,0.030584682943367837,0.005708379048869878
00-0022921,L.Fitzgerald,2020_16_SF_ARI,2020,16,ARI,SF,28.0,6.0,0.0,8.0,0.02127659574468085,2020-12-26,4.7,75.0,31.576171875,32.695868403077675,33.094526369353346,21.638516191298816,0.5,0.3333333333333333,0.18181818181818182,0.5270815019859552,3.42431640625,3.7289200494504575,3.931138070917584,2.456750191352433,4.6669921875,5.0726120114932804,5.280037704286323,2.6300154845857344,0.028625078851800715,0.029405496849632277,0.02993783641312405,0.005025561610112375
00-0023459,A.Rodgers,2020_02_DET_GB,2020,2,GB,DET,-6.0,1.0,0.0,1.0,0.03333333333333333,2020-09-20,-6.0,100.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0023459,Aa.Rodgers,2021_03_GB_SF,2021,3,GB,SF,-4.0,1.0,0.0,1.0,0.03225806451612903,2021-09-26,-4.0,100.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
00-0023459,A.Rodgers,2025_14_PIT_BAL,2025,14,PIT,BAL,-9.0,1.0,0.0,1.0,0.030303030303030304,2025-12-07,-9.0,100.0,-5.0,-5.333333333333333,-5.636363636363636,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03279569892473118,0.032974910394265235,0.03313782991202346,0.0007603298722435998
00-0023500,F.Gore,2020_02_SF_NYJ,2020,2,NYJ,SF,0.0,0.0,0.0,2.0,0.03125,2020-09-20,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
00-0023500,F.Gore,2020_03_NYJ_IND,2020,3,NYJ,IND,5.0,1.0,0.0,1.0,0.038461538461538464,2020-09-27,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03125,0.03125,0.03125,0.0
00-0023500,F.Gore,2020_04_DEN_NYJ,2020,4,NYJ,DEN,6.0,1.0,0.0,2.0,0.022727272727272728,2020-10-01,6.0,50.0,2.5,1.6666666666666665,0.9090909090909092,3.5355339059327378,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.18181818181818182,0.7071067811865476,1.5,1.6666666666666667,1.8181818181818181,0.7071067811865476,0.03485576923076923,0.03365384615384616,0.03256118881118881,0.0050993277489414495
00-0023500,F.Gore,2020_06_NYJ_MIA,2020,6,NYJ,MIA,24.0,4.0,0.0,4.0,0.02564102564102564,2020-10-18,6.0,100.0,4.25,3.111111111111111,1.8347107438016528,3.502746175393069,0.0,0.0,0.0,0.0,0.75,0.5555555555555556,0.3305785123966942,0.6201736729460423,1.75,1.7777777777777781,1.8512396694214877,0.5188745216627708,0.02879152097902098,0.03001165501165502,0.03077320406865861,0.007302654373872446
00-0023500,F.Gore,2020_09_NE_NYJ,2020,9,NYJ,NE,13.0,2.0,0.0,2.0,0.041666666666666664,2020-11-09,6.5,100.0,14.125,10.074074074074074,5.864763335837715,11.835018765212514,0.0,0.0,0.0,0.0,2.375,1.7037037037037037,0.9977460555972952,1.9591696875619666,2.875,2.518518518518519,2.241923365890308,1.289051641843082,0.027216273310023312,0.02855477855477856,0.02984008071817989,0.006090353888562592
00-0023500,F.Gore,2020_11_NYJ_LAC,2020,11,NYJ,LAC,10.0,2.0,0.0,2.0,0.03571428571428571,2020-11-22,5.0,100.0,13.5625,11.049382716049383,7.16207909295813,9.545354816483329,0.0,0.0,0.0,0.0,2.1875,1.8024691358024691,1.179974045488696,1.5666528871560093,2.4375,2.3456790123456797,2.1979372993647974,1.0626676291706791,0.03444146998834499,0.032925407925407935,0.03199036907245021,0.0085538444947664
00-0023500,F.Gore,2020_12_MIA_NYJ,2020,12,NYJ,MIA,12.0,3.0,0.0,3.0,0.037037037037037035,2020-11-29,4.0,100.0,11.78125,10.699588477366255,7.678064712420288,7.727475223542359,0.0,0.0,0.0,0.0,2.09375,1.8683127572016462,1.3290696735816603,1.2693313468413623,2.21875,2.23045267489712,2.1619486994802886,0.8775038036744699,0.03507787785131535,0.03385503385503386,0.03266744482551121,0.007064095208097029
00-0023500,F.Gore,2020_14_NYJ_SEA,2020,14,NYJ,SEA,8.0,1.0,0.0,1.0,0.043478260869565216,2020-12-13,8.0,100.0,11.890625,11.133058984910837,8.463871128343872,6.316338386801272,0.0,0.0,0.0,0.0,2.546875,2.245541838134431,1.6328751874759038,1.1925701621985607,2.609375,2.4869684499314135,2.314321663211145,0.8210581441779538,0.0360574574441762,0.03491570158236826,0.033461916136697724,0.005981556420141998
00-0023500,F.Gore,2020_15_NYJ_LA,2020,15,NYJ,LA,6.0,1.0,0.0,1.0,0.037037037037037035,2020-12-20,6.0,100.0,9.9453125,10.088705989940559,8.37953092319044,5.405478499765867,0.0,0.0,0.0,0.0,1.7734375,1.830361225422954,1.517806971571194,1.1732407523636161,1.8046875,1.9913122999542758,2.0753540880818457,1.0314029290392792,0.03976785915687071,0.03776988801143391,0.035283069724491814,0.006647266114587345
